"name","born","died","borncountry","borncity","bornlong","bornlat","diedcountry","diedcity","diedlong","diedlat","gender","year","category","motivation","institutionname","institutioncity","institutioncountry"
"Walther Hermann Nernst","1864-06-25","1941-11-18","Prussia (now Germany)","Briesen",14.2767893,52.3401613,"Germany","Muskau",14.7155202,51.54926,"male",1920,"chemistry","""in recognition of his work in thermochemistry""","Berlin University","Berlin","Germany"
"Albrecht Kossel","1853-09-16","1927-07-05","Mecklenburg (now Germany)","Rostock",12.0991466,54.0924406,"Germany","Heidelberg",8.6724335,49.3987524,"male",1910,"medicine","""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances""","University of Heidelberg","Heidelberg","Germany"
"Karl Ferdinand Braun","1850-06-06","1918-04-20","Hesse-Kassel (now Germany)","Fulda",9.6808449,50.5558095,"USA","Brooklyn, NY",-73.9441579,40.6781784,"male",1909,"physics","""in recognition of their contributions to the development of wireless telegraphy""","Strasbourg University","Strasbourg","Alsace (then Germany, now France)"
"Eduard Buchner","1860-05-20","1917-08-13","Bavaria (now Germany)","Munich",11.5819805,48.1351253,"Romania","Focsani",27.184043,45.6964745,"male",1907,"chemistry","""for his biochemical researches and his discovery of cell-free fermentation""","Landwirtschaftliche Hochschule (Agricultural College)","Berlin","Germany"
"Alfred Kastler","1902-05-03","1984-01-07","Germany (now France)","Guebwiller",7.209336,47.911586,"France","Bandol",5.754186,43.136418,"male",1966,"physics","""for the discovery and development of optical methods for studying Hertzian resonances in atoms""","Ecole Normale Superieure","Paris","France"
"Artturi Ilmari Virtanen","1895-01-15","1973-11-11","Russian Empire (now Finland)","Helsinki",24.9383791,60.1698557,"Finland","Helsinki",24.9383791,60.1698557,"male",1945,"chemistry","""for his research and inventions in agricultural and nutrition chemistry, especially for his fodder preservation method""","University of Helsinki","Helsinki","Finland"
"Ragnar Granit","1900-10-30","1991-03-12","Russian Empire (now Finland)","Helsinki",24.9383791,60.1698557,"Sweden","Stockholm",18.0685808,59.3293235,"male",1967,"medicine","""for their discoveries concerning the primary physiological and chemical visual processes in the eye""","Karolinska Institutet","Stockholm","Sweden"
"Jaroslav Heyrovsky","1890-12-20","1967-03-27","Austria-Hungary (now Czech Republic)","Prague",14.4378005,50.0755381,"Czechoslovakia","Prague",14.4378005,50.0755381,"male",1959,"chemistry","""for his discovery and development of the polarographic methods of analysis""","Polarographic Institute of the Czechoslovak Academy of Science","Prague","Czechoslovakia"
"Carl Ferdinand Cori","1896-12-05","1984-10-20","Austria-Hungary (now Czech Republic)","Prague",14.4378005,50.0755381,"USA","Cambridge, MA",-71.1097335,42.3736158,"male",1947,"medicine","""for their discovery of the course of the catalytic conversion of glycogen""","Washington University","St. Louis, MO","USA"
"Gerty Theresa Cori nee Radnitz","1896-08-15","1957-10-26","Austria-Hungary (now Czech Republic)","Prague",14.4378005,50.0755381,"USA","St. Louis, MO",-90.1994042,38.6270025,"female",1947,"medicine","""for their discovery of the course of the catalytic conversion of glycogen""","Washington University","St. Louis, MO","USA"
"Leopold Ruzicka","1887-09-13","1976-09-26","Austria-Hungary (now Croatia)","Vukovar",19.0010204,45.3452377,"Switzerland","Zurich",8.541694,47.3768866,"male",1939,"chemistry","""for his work on polymethylenes and higher terpenes""","Eidgenossische Technische Hochschule (Swiss Federal Institute of Technology)","Zurich","Switzerland"
"Vladimir Prelog","1906-07-23","1998-01-07","Austria-Hungary (now Bosnia and Herzegovina)","Sarajevo",18.4130763,43.8562586,"Switzerland","Zurich",8.541694,47.3768866,"male",1975,"chemistry","""for his research into the stereochemistry of organic molecules and reactions""","Eidgenossische Technische Hochschule (Swiss Federal Institute of Technology)","Zurich","Switzerland"
"Simon Kuznets","1901-04-30","1985-07-08","Russian Empire (now Belarus)","Pinsk",26.0634602,52.1124967,"USA","Cambridge, MA",-71.1097335,42.3736158,"male",1971,"economics","""for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development""","Harvard University","Cambridge, MA","USA"
"Richard Adolf Zsigmondy","1865-04-01","1929-09-24","Austrian Empire (now Austria)","Vienna",16.3738189,48.2081743,"Germany","Gottingen",9.9158035,51.5412804,"male",1925,"chemistry","""for his demonstration of the heterogenous nature of colloid solutions and for the methods he used, which have since become fundamental in modern colloid chemistry""","Goettingen University","Gottingen","Germany"
"Karl Landsteiner","1868-06-14","1943-06-26","Austrian Empire (now Austria)","Vienna",16.3738189,48.2081743,"USA","New York, NY",-74.0059728,40.7127753,"male",1930,"medicine","""for his discovery of human blood groups""","Rockefeller Institute for Medical Research","New York, NY","USA"
"Baruj Benacerraf","1920-10-29","2011-08-02","Venezuela","Caracas",-66.9036063,10.4805937,"USA","Boston, MA",-71.0588801,42.3600825,"male",1980,"medicine","""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""","Harvard Medical School","Boston, MA","USA"
"Robert Andrews Millikan","1868-03-22","1953-12-19","USA","Morrison, IL",-89.9651186,41.809751,"USA","San Marino, CA",-118.1064585,34.121397,"male",1923,"physics","""for his work on the elementary charge of electricity and on the photoelectric effect""","California Institute of Technology (Caltech)","Pasadena, CA","USA"
"Arthur Holly Compton","1892-09-10","1962-03-15","USA","Wooster, OH",-81.935143,40.8050565,"USA","Berkeley, CA",-122.272747,37.8715926,"male",1927,"physics","""for his discovery of the effect named after him""","University of Chicago","Chicago, IL","USA"
"Carl David Anderson","1905-09-03","1991-01-11","USA","New York, NY",-74.0059728,40.7127753,"USA","San Marino, CA",-118.1064585,34.121397,"male",1936,"physics","""for his discovery of the positron""","California Institute of Technology (Caltech)","Pasadena, CA","USA"
"Clinton Joseph Davisson","1881-10-22","1958-02-01","USA","Bloomington, IL",-88.9936873,40.4842027,"USA","Charlottesville, VA",-78.4766781,38.0293059,"male",1937,"physics","""for their experimental discovery of the diffraction of electrons by crystals""","Bell Telephone Laboratories","New York, NY","USA"
